Processed 627, Round: 1, Time: 547.55s
Processed 365, Round: 97, Time: 11.16s
Processed 630, Round: 51, Time: 21.14s
Processed 815, Round: 48, Time: 22.48s
Processed 803, Round: 5, Time: 183.73s
Processed 365, Round: 98, Time: 11.16s
Processed 361, Round: 11, Time: 92.22s
Processed 430, Round: 4, Time: 221.53s
Processed 860, Round: 1, Time: 553.88s
Processed 90, Round: 43, Time: 25.29s
Processed 548, Round: 4, Time: 222.84s
Processed 19, Round: 0, Time: 1116.58s
Processed 919, Round: 20, Time: 53.20s
Processed 930, Round: 14, Time: 74.49s
Processed 365, Round: 99, Time: 11.16s
Processed 113, Round: 12, Time: 86.06s
Processed 338, Round: 31, Time: 35.01s
Processed 630, Round: 52, Time: 21.15s
Processed 815, Round: 49, Time: 22.49s
Processed 788, Round: 3, Time: 281.43s
Processed 154, Round: 26, Time: 41.75s
Processed 828, Round: 0, Time: 1128.46s
Processed 365, Round: 100, Time: 11.16s
Processed 974, Round: 0, Time: 1131.26s
Processed 90, Round: 44, Time: 25.29s
Processed 365, Round: 101, Time: 11.19s
Processed 596, Round: 3, Time: 285.52s
Processed 630, Round: 53, Time: 21.15s
Processed 10, Round: 1, Time: 573.33s
Processed 815, Round: 50, Time: 22.48s
Processed 140, Round: 2, Time: 382.45s
Processed 272, Round: 1, Time: 574.26s
Processed 365, Round: 102, Time: 11.17s
Processed 526, Round: 1, Time: 577.24s
Processed 338, Round: 32, Time: 35.02s
Processed 873, Round: 2, Time: 386.98s
Processed 365, Round: 103, Time: 11.18s
Processed 630, Round: 54, Time: 21.16s
Processed 90, Round: 45, Time: 25.29s
Processed 716, Round: 1, Time: 582.01s
Processed 702, Round: 9, Time: 116.85s
Processed 154, Round: 27, Time: 41.75s
Processed 815, Round: 51, Time: 22.49s
Processed 919, Round: 21, Time: 53.20s
Processed 359, Round: 0, Time: 1171.04s
Processed 276, Round: 2, Time: 391.07s
Processed 365, Round: 104, Time: 11.16s
Processed 155, Round: 2, Time: 393.39s
Processed 568, Round: 4, Time: 236.63s
Processed 630, Round: 55, Time: 21.13s
Processed 365, Round: 105, Time: 11.17s
Processed 916, Round: 4, Time: 237.23s
Processed 90, Round: 46, Time: 25.30s
Processed 443, Round: 0, Time: 1189.69s
Processed 338, Round: 33, Time: 35.02s
Processed 930, Round: 15, Time: 74.48s
Processed 815, Round: 52, Time: 22.47s
Processed 497, Round: 0, Time: 1192.02s
Processed 577, Round: 2, Time: 397.75s
Processed 993, Round: 4, Time: 239.09s
Processed 365, Round: 106, Time: 11.16s
Processed 361, Round: 12, Time: 92.21s
Processed 393, Round: 8, Time: 133.33s
Processed 500, Round: 1, Time: 600.23s
Processed 836, Round: 1, Time: 600.83s
Processed 113, Round: 13, Time: 86.07s
Processed 630, Round: 56, Time: 21.15s
Processed 365, Round: 107, Time: 11.16s
Processed 250, Round: 6, Time: 172.96s
Processed 154, Round: 28, Time: 41.75s
Processed 807, Round: 0, Time: 1211.16s
Processed 90, Round: 47, Time: 25.29s
Processed 815, Round: 53, Time: 22.47s
Processed 159, Round: 0, Time: 1214.94s
Processed 695, Round: 1, Time: 608.01s
Processed 24, Round: 4, Time: 243.22s
Processed 365, Round: 108, Time: 11.18s
Processed 619, Round: 3, Time: 305.68s
Processed 919, Round: 22, Time: 53.19s
Processed 338, Round: 34, Time: 35.02s
Processed 630, Round: 57, Time: 21.15s
Processed 525, Round: 3, Time: 307.25s
Processed 450, Round: 1, Time: 614.66s
Processed 365, Round: 109, Time: 11.18s
Processed 515, Round: 1, Time: 615.03s
Processed 815, Round: 54, Time: 22.49s
Processed 536, Round: 2, Time: 412.70s
Processed 90, Round: 48, Time: 25.29s
Processed 513, Round: 6, Time: 177.19s
Processed 365, Round: 110, Time: 11.17s
Processed 177, Round: 1, Time: 620.39s
Processed 630, Round: 58, Time: 21.16s
Processed 882, Round: 0, Time: 1250.17s
Processed 365, Round: 111, Time: 11.17s
Processed 154, Round: 29, Time: 41.76s
Processed 815, Round: 55, Time: 22.49s
Processed 338, Round: 35, Time: 35.03s
Processed 365, Round: 112, Time: 11.17s
Processed 90, Round: 49, Time: 25.31s
Processed 36, Round: 1, Time: 632.86s
Processed 930, Round: 16, Time: 74.48s
Processed 356, Round: 0, Time: 1266.83s
Processed 615, Round: 0, Time: 1267.83s
Processed 630, Round: 59, Time: 21.16s
Processed 365, Round: 113, Time: 11.17s
Processed 517, Round: 0, Time: 1274.70s
Processed 919, Round: 23, Time: 53.19s
Processed 589, Round: 3, Time: 319.84s
Processed 815, Round: 56, Time: 22.48s
Processed 365, Round: 114, Time: 11.17s
Processed 702, Round: 10, Time: 116.85s
Processed 803, Round: 6, Time: 183.77s
Processed 90, Round: 50, Time: 25.28s
Processed 630, Round: 60, Time: 21.14s
Processed 113, Round: 14, Time: 86.05s
Processed 361, Round: 13, Time: 92.21s
Processed 635, Round: 1, Time: 646.69s
Processed 232, Round: 0, Time: 1294.10s
Processed 154, Round: 30, Time: 41.76s
Processed 975, Round: 1, Time: 647.58s
Processed 906, Round: 0, Time: 1295.76s
